team_code,pitch_count,school_name
BEL_UNI1,250,
MOL_COL,250,
WIL_UNI,249,
ALI_LLO,248,
OUA_BAP,247,
GRA_R,246,
202_HAI1,245,
CHA_15U5,241,
GAS_COL,240,
DAN_O,239,
TEA_BLK,239,
EVE_MER,238,
JOH_C,236,
MAS_INS,235,
16U_CHA41,232,
16U_CHA42,232,
SOU_SOU4,229,
BRE_SER,225,
202_BTS4,224,
202_BTS1,220,
DAL_COL3,215,
TEA_TEA4,214,
202_BTS8,213,
NOR_CEN1,208,
202_BTS13,207,
202_BTS11,206,
202_BTS14,205,
ASB_UNI,204,
202_BTS9,201,
202_BTS6,198,
202_BTS7,198,
202_BTS10,194,
MON_COL1,185,
ALV_CCP,184,
MLB_BRE9,172,
YAV_API,172,
PUR_UNI,161,
ROB_COM,161,
LA,118,
BOS,107,
LOR_DUH,99,
202_CAP2,61,
202_CAP3,61,
CAN_COU,60,
MIL_COL,33,
WES_HIL9,31,
ARI,22,
ANA,16,
ALE_ACE,7,
SS-_TBO,7,
KEE_STA,4,
KIN_BAS5,1,
LIV_POS,1,
SAN_DIE8,1,
